dte,band,spread_type,flow_mode,spread_width,entry_time_pst,entry_time_et,time_bucket,expected_win_pct,expected_roi_pct,sharpe,expected_credit,max_risk_per_contract,avg_pnl,n_trades,trade_score
5,P100,iron_condor,neutral,10,07:15,10:15,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),98.2,226.77,0.302,17251.96,7607.85,1115.45,55,120.65736360798387
5,P100,iron_condor,neutral,5,07:15,10:15,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),98.2,226.77,0.302,17251.96,7607.85,1115.45,55,120.65736360798387
5,P100,iron_condor,with_flow,65,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.7,238.08,0.481,25245.54,10604.02,1144.44,54,119.67407716696123
5,P100,iron_condor,against_flow,70,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.7,238.08,0.481,25245.54,10604.02,1144.44,54,119.67407716696123
5,P100,iron_condor,against_flow,65,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.7,238.08,0.481,25245.54,10604.02,1144.44,54,119.67407716696123
5,P100,iron_condor,with_flow,70,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.7,238.08,0.481,25245.54,10604.02,1144.44,54,119.67407716696123
5,P100,iron_condor,neutral,60,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.2,232.46,0.568,24040.75,10341.79,1198.91,57,119.31290119118643
5,P100,iron_condor,neutral,55,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.2,232.46,0.568,24040.75,10341.79,1198.91,57,119.31290119118643
5,P100,iron_condor,with_flow,75,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.7,233.15,0.461,25372.35,10882.48,1113.03,54,118.23331638008983
5,P100,iron_condor,against_flow,75,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.7,233.15,0.461,25372.35,10882.48,1113.03,54,118.23331638008983
3,P98,iron_condor,with_flow,55,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,221.47,0.466,22580.33,10195.63,844.6,57,117.87712473530327
3,P98,iron_condor,against_flow,55,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,221.47,0.466,22580.33,10195.63,844.6,57,117.87712473530327
3,P100,iron_condor,neutral,25,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.2,235.87,0.313,20714.26,8782.0,460.54,61,117.86888556137554
3,P98,iron_condor,with_flow,60,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,220.27,0.46,22560.12,10242.16,834.49,57,117.52021309958056
3,P98,iron_condor,against_flow,60,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,220.27,0.46,22560.12,10242.16,834.49,57,117.52021309958056
5,P100,iron_condor,against_flow,80,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.9,229.1,0.473,24938.71,10885.29,1115.61,55,117.43634195414177
5,P100,iron_condor,with_flow,80,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.9,229.1,0.473,24938.71,10885.29,1115.61,55,117.43634195414177
5,P100,iron_condor,neutral,70,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.4,225.1,0.48,23581.83,10476.38,1104.19,58,116.86405637252562
5,P100,iron_condor,neutral,65,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.4,225.1,0.48,23581.83,10476.38,1104.19,58,116.86405637252562
5,P100,iron_condor,with_flow,25,07:15,10:15,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),98.1,211.97,0.302,17843.96,8418.19,1128.03,53,116.64430762610489
5,P100,iron_condor,against_flow,25,07:15,10:15,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),98.1,211.97,0.302,17843.96,8418.19,1128.03,53,116.64430762610489
3,P98,iron_condor,against_flow,30,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.8,221.7,0.339,20030.03,9034.84,705.63,64,116.63065292578507
3,P98,iron_condor,with_flow,30,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.8,221.7,0.339,20030.03,9034.84,705.63,64,116.63065292578507
1,P98,put_spread,with_flow,10,06:30,09:30,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),100.0,103.77,0.677,881.38,849.38,440.69,13,114.90508692222562
1,P98,put_spread,with_flow,5,06:30,09:30,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),100.0,103.77,0.677,881.38,849.38,440.69,13,114.90508692222562
5,P100,iron_condor,neutral,75,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.4,218.08,0.459,23692.14,10864.09,1071.07,58,114.87292731190557
3,P98,iron_condor,neutral,60,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.2,207.67,0.457,20812.45,10021.9,803.04,62,114.689129571239
3,P98,iron_condor,neutral,55,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.2,206.94,0.459,20501.43,9906.98,799.96,63,114.5457786792746
5,P100,iron_condor,against_flow,85,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.1,216.84,0.459,24550.05,11321.77,1170.46,56,114.30850824031931
5,P100,iron_condor,with_flow,85,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.1,216.84,0.459,24550.05,11321.77,1170.46,56,114.30850824031931
