dte,band,band_description,max_width_cap,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,n_contracts,avg_credit_30k,roi_pct,avg_pnl,avg_pnl_30k,total_pnl_30k,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful,score_balanced,score_risk_adjusted,capital_efficiency,score_capital_efficient,profile
5,P99,0.5/99.5 pct of 100d moves,86,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,15,56,92.9,32761.43,9009.96,3,98284.29,363.61,409.79,1229.37,68844.7,111.25,-8740.0,9525.0,2512.67,0.163,3.6,True,True,True,True,True,True,157.163,76.76500000000001,0.04548188893180437,5.363188893180437,aggressive
5,P99,0.5/99.5 pct of 100d moves,86,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,15,56,92.9,32761.43,9009.96,3,98284.29,363.61,409.79,1229.37,68844.7,111.25,-8740.0,9525.0,2512.67,0.163,3.6,True,True,True,True,True,True,157.163,76.76500000000001,0.04548188893180437,5.363188893180437,aggressive
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,15,57,91.2,21287.77,6026.98,4,85151.08,353.21,359.49,1437.96,81963.7,97.5,-4348.0,5512.0,1160.79,0.31,2.7,True,True,True,True,True,True,154.66299999999998,77.61000000000001,0.05964678827538834,7.514678827538834,aggressive
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,against_flow,15,34,100.0,2171.91,2148.97,13,28234.83,101.07,1672.28,21739.64,739147.8,180.25,1.0,24607.0,5197.34,0.322,1.0,True,True,True,True,True,True,83.541,84.83,0.7781774524539664,79.42774524539664,capital_efficient
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,with_flow,15,34,100.0,2171.91,2148.97,13,28234.83,101.07,1672.28,21739.64,739147.8,180.25,1.0,24607.0,5197.34,0.322,1.0,True,True,True,True,True,True,83.541,84.83,0.7781774524539664,79.42774524539664,capital_efficient
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,against_flow,20,33,100.0,2223.39,2235.03,13,28904.07,99.48,1715.79,22305.27,736073.9,165.0,1.0,24607.0,5271.03,0.326,1.0,True,True,True,True,True,True,83.104,84.89,0.7676809707252251,78.3980970725225,capital_efficient
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,with_flow,20,33,100.0,2223.39,2235.03,13,28904.07,99.48,1715.79,22305.27,736073.9,165.0,1.0,24607.0,5271.03,0.326,1.0,True,True,True,True,True,True,83.104,84.89,0.7676809707252251,78.3980970725225,capital_efficient
1,P95,2.5/97.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,neutral,5,34,97.1,2195.88,1460.76,20,43917.6,150.32,1084.12,21682.4,737201.6,184.5,-440.0,11106.0,2543.31,0.426,1.1,True,True,True,True,True,True,97.90599999999999,84.07000000000001,0.74216161450204,76.346161450204,capital_efficient
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,with_flow,5,35,97.1,1389.97,1390.54,21,29189.37,99.96,953.31,20019.51,700682.8,47.5,-435.0,20018.0,3415.83,0.279,1.0,True,True,True,True,True,True,81.328,81.86500000000001,0.6855681965279675,69.95181965279674,capital_efficient
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,against_flow,5,35,97.1,1389.97,1390.54,21,29189.37,99.96,953.31,20019.51,700682.8,47.5,-435.0,20018.0,3415.83,0.279,1.0,True,True,True,True,True,True,81.328,81.86500000000001,0.6855681965279675,69.95181965279674,capital_efficient
