param_percent_beyond,net_pnl,profit_factor,win_rate,total_trades,successful_trades,failed_trades,total_credits,total_gains,total_losses,roi,expectancy
0.005:0.002,-2058967.6521059098,0.7896512807889027,78.65990990990991,1776,1397,379,20806107.0,7729385.991443562,9788353.643549472,-3.9597136216767663,-37.664977477476896
0.002:0.002,-2069528.870855907,0.8163209504476073,75.83929554210236,1817,1378,439,23708420.0,9197563.788318565,11267092.659174472,-3.8915124108385184,-78.74518436984272
0.01:0.025,-2121741.6796874995,0.29619989836031846,86.95652173913044,851,740,111,5040455.0,892951.9453124999,3014693.6249999995,-8.476609996656084,-1022.9670975323143
0.005:0.02,-2161579.21875,0.5184494305768604,85.12628624883068,1069,910,159,8060995.0,2327210.4453125,4488789.6640625,-6.8903728737730905,-568.76052385407
0.01:0.015,-2170431.703125,0.4142990860013064,88.48857644991213,1138,1007,131,6374939.0,1535268.0,3705699.703125,-6.472995495437729,-744.3418277680125
0.002:0.02,-2172140.4375,0.6360067032616677,80.27027027027027,1110,891,219,10963308.0,3795388.2421875,5967528.6796875,-6.672485681501195,-616.3891891891872
0.0075:0.025,-2220965.796875,0.34783994439816784,86.53017241379311,928,803,125,5948976.0,1184587.4531249998,3405553.25,-8.148681334745206,-887.9568965517224
0.001:0.002,-2229260.308355909,0.8109575587479052,75.16411378555799,1828,1374,454,24754787.0,9563119.718006063,11792380.026361972,-4.167487229948887,3.986323851202542
0.0075:0.015,-2269655.8203125,0.44596046620632634,88.06584362139918,1215,1070,145,7283460.0,1826903.5078125,4096559.328125,-6.347703937103173,-658.8806584362133
0.015:0.002,-2287587.1599184135,0.7181918858931559,78.61930294906166,1492,1173,319,16650533.0,5829947.593006062,8117534.752924476,-5.224952912504853,-381.0100536193022
0.00075:0.002,-2300459.722418409,0.8079791825625571,74.89059080962801,1828,1369,459,24947362.0,9679802.382068563,11980262.104486972,-4.30099891942808,-38.36870897155313
0.001:0.02,-2331871.875,0.6408535436450055,79.1257805530776,1121,887,234,12009675.0,4160944.171875,6492816.046875,-7.095342436784617,-476.2042818911714
0.015:0.02,-2390198.7265625,0.15180144908074492,87.38853503184714,785,686,99,3905421.0,427772.046875,2817970.7734375,-10.32256778982486,-1413.4764331210167
0.00075:0.02,-2403071.2890625,0.6402963815907339,78.67975022301516,1121,882,239,12202250.0,4277626.8359375,6680698.125,-7.31311494780849,-545.2720785013398
0.01:0.002,-2520174.1208559135,0.7164078548620972,78.95694360218315,1649,1302,347,18336006.0,6366440.561756062,8886614.682611976,-5.212733979957085,-429.95391146149177
0.003:0.001,-2614597.25458847,0.7689947296368195,76.01536772777168,1822,1385,437,23790929.0,8703747.346285215,11318344.600873685,-4.902991521034552,-186.92151481888232
0.0075:0.002,-2619398.23804341,0.7176604158424617,79.0845886442642,1726,1365,361,19244527.0,6658076.069568562,9277474.307611972,-5.179596485242598,-383.8198146002296
0.01:0.02,-2622785.6875,0.26881834003208893,86.51804670912952,942,815,127,5590894.0,964265.0156249999,3587050.703125,-9.461843315882629,-1327.0764331210157
0.0075:0.02,-2722009.8046875,0.31571866126742787,86.16290480863591,1019,878,141,6499415.0,1255900.5234374998,3977910.328125,-9.090157050723862,-1181.1432777232594
