trial	hash	status	op	score	ann_sharpe	hold_sharpe	ann_roi	max_dd	win_d	improvement_pct	profit_target	stop_loss	apply_dtes	apply_tiers	apply_sides
120	7199ef7	discard	shift_stop_loss	11.6885	11.688	11.220	57403.23	0.00	100.00	+4.2	70	50	0,1,3	conservative	call,put
121	36155b4	discard	shift_stop_loss	11.7189	11.719	11.220	58121.67	0.00	100.00	+4.4	70	150	0,1,3	conservative	call,put
122	d0803e9	discard	shift_profit_target	11.6765	11.676	11.220	57876.93	0.00	100.00	+4.1	80	100	0,1,3	conservative	call,put
123	b03f3f1	discard	shift_profit_target	11.6907	11.691	11.220	57807.10	0.00	100.00	+4.2	75	100	0,1,3	conservative	call,put
124	ce78f1f	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	70	100	0,1,3	conservative	call
125	4034f48	discard	swap_tiers	9.4973	9.802	11.220	41211.52	0.93	93.27	-12.6	70	100	0,1,3	aggressive,conservative,moderate	call,put
126	7199ef7	discard	shift_stop_loss	11.6885	11.688	11.220	57403.23	0.00	100.00	+4.2	70	50	0,1,3	conservative	call,put
127	0380632	discard	toggle_side	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	put
128	ae04c21	discard	shift_profit_target	11.7457	11.746	11.220	57566.57	0.00	100.00	+4.7	60	100	0,1,3	conservative	call,put
129	7ef5d7c	discard	toggle_dte	11.6592	11.659	11.220	58380.61	0.00	100.00	+3.9	70	100	1,3	conservative	call,put
130	0380632	discard	toggle_side	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	put
131	43da125	discard	toggle_dte	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1	conservative	call,put
132	7ef5d7c	discard	toggle_dte	11.6592	11.659	11.220	58380.61	0.00	100.00	+3.9	70	100	1,3	conservative	call,put
133	ce78f1f	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	70	100	0,1,3	conservative	call
134	b03f3f1	discard	shift_profit_target	11.6907	11.691	11.220	57807.10	0.00	100.00	+4.2	75	100	0,1,3	conservative	call,put
135	692878e	discard	swap_tiers	10.4545	10.566	11.220	53811.89	0.32	98.17	-5.8	70	100	0,1,3	aggressive	call,put
136	2d0823a	discard	swap_tiers	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	call,put
137	4034f48	discard	swap_tiers	9.4973	9.802	11.220	41211.52	0.93	93.27	-12.6	70	100	0,1,3	aggressive,conservative,moderate	call,put
138	36155b4	discard	shift_stop_loss	11.7189	11.719	11.220	58121.67	0.00	100.00	+4.4	70	150	0,1,3	conservative	call,put
139	36155b4	discard	shift_stop_loss	11.7189	11.719	11.220	58121.67	0.00	100.00	+4.4	70	150	0,1,3	conservative	call,put
140	ce78f1f	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	70	100	0,1,3	conservative	call
141	49e726a	discard	swap_tiers	9.0699	9.344	11.220	43097.67	0.88	93.88	-16.7	70	100	0,1,3	aggressive,moderate	call,put
142	ce78f1f	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	70	100	0,1,3	conservative	call
143	3b8952f	discard	toggle_dte	11.3171	11.317	11.220	58880.72	0.00	100.00	+0.9	70	100	0,3	conservative	call,put
144	b03f3f1	discard	shift_profit_target	11.6907	11.691	11.220	57807.10	0.00	100.00	+4.2	75	100	0,1,3	conservative	call,put
145	5ee4bfe	discard	swap_tiers	10.1574	10.332	11.220	48859.52	0.51	98.17	-7.9	70	100	0,1,3	moderate	call,put
146	ed1439a	discard	swap_tiers	10.6574	10.848	11.220	46973.37	0.53	97.86	-3.3	70	100	0,1,3	conservative,moderate	call,put
147	ce78f1f	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	70	100	0,1,3	conservative	call
148	7ef5d7c	discard	toggle_dte	11.6592	11.659	11.220	58380.61	0.00	100.00	+3.9	70	100	1,3	conservative	call,put
149	2d0823a	discard	swap_tiers	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	call,put
150	36155b4	discard	shift_stop_loss	11.7189	11.719	11.220	58121.67	0.00	100.00	+4.4	70	150	0,1,3	conservative	call,put
151	36155b4	discard	shift_stop_loss	11.7189	11.719	11.220	58121.67	0.00	100.00	+4.4	70	150	0,1,3	conservative	call,put
152	791289f	discard	toggle_dte	11.6510	11.651	11.220	56527.87	0.00	100.00	+3.8	70	100	0,1,2,3	conservative	call,put
153	791289f	discard	toggle_dte	11.6510	11.651	11.220	56527.87	0.00	100.00	+3.8	70	100	0,1,2,3	conservative	call,put
154	0380632	discard	toggle_side	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	put
155	0380632	discard	toggle_side	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	put
156	69bca02	discard	shift_profit_target	11.7463	11.746	11.220	57659.83	0.00	100.00	+4.7	65	100	0,1,3	conservative	call,put
157	49e726a	discard	swap_tiers	9.0699	9.344	11.220	43097.67	0.88	93.88	-16.7	70	100	0,1,3	aggressive,moderate	call,put
158	0380632	discard	toggle_side	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	put
159	4034f48	discard	swap_tiers	9.4973	9.802	11.220	41211.52	0.93	93.27	-12.6	70	100	0,1,3	aggressive,conservative,moderate	call,put
160	49e726a	discard	swap_tiers	9.0699	9.344	11.220	43097.67	0.88	93.88	-16.7	70	100	0,1,3	aggressive,moderate	call,put
161	69bca02	discard	shift_profit_target	11.7463	11.746	11.220	57659.83	0.00	100.00	+4.7	65	100	0,1,3	conservative	call,put
162	3b8952f	discard	toggle_dte	11.3171	11.317	11.220	58880.72	0.00	100.00	+0.9	70	100	0,3	conservative	call,put
163	4034f48	discard	swap_tiers	9.4973	9.802	11.220	41211.52	0.93	93.27	-12.6	70	100	0,1,3	aggressive,conservative,moderate	call,put
164	36155b4	discard	shift_stop_loss	11.7189	11.719	11.220	58121.67	0.00	100.00	+4.4	70	150	0,1,3	conservative	call,put
165	ce78f1f	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	70	100	0,1,3	conservative	call
166	ed1439a	discard	swap_tiers	10.6574	10.848	11.220	46973.37	0.53	97.86	-3.3	70	100	0,1,3	conservative,moderate	call,put
167	ce78f1f	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	70	100	0,1,3	conservative	call
168	4034f48	discard	swap_tiers	9.4973	9.802	11.220	41211.52	0.93	93.27	-12.6	70	100	0,1,3	aggressive,conservative,moderate	call,put
169	ce78f1f	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	70	100	0,1,3	conservative	call
170	43da125	discard	toggle_dte	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1	conservative	call,put
171	791289f	discard	toggle_dte	11.6510	11.651	11.220	56527.87	0.00	100.00	+3.8	70	100	0,1,2,3	conservative	call,put
172	3b8952f	discard	toggle_dte	11.3171	11.317	11.220	58880.72	0.00	100.00	+0.9	70	100	0,3	conservative	call,put
173	ae04c21	discard	shift_profit_target	11.7457	11.746	11.220	57566.57	0.00	100.00	+4.7	60	100	0,1,3	conservative	call,put
174	36155b4	discard	shift_stop_loss	11.7189	11.719	11.220	58121.67	0.00	100.00	+4.4	70	150	0,1,3	conservative	call,put
175	ae04c21	discard	shift_profit_target	11.7457	11.746	11.220	57566.57	0.00	100.00	+4.7	60	100	0,1,3	conservative	call,put
176	0380632	discard	toggle_side	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	put
177	7199ef7	discard	shift_stop_loss	11.6885	11.688	11.220	57403.23	0.00	100.00	+4.2	70	50	0,1,3	conservative	call,put
