trial	hash	status	op	score	ann_sharpe	hold_sharpe	ann_roi	max_dd	win_d	improvement_pct	profit_target	stop_loss	apply_dtes	apply_tiers	apply_sides
111	ecd91da	discard	swap_tiers	11.4155	11.416	11.220	57842.14	0.00	100.00	+1.7	30	9999	0,3	conservative,moderate	put
112	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
113	c9eaf87	discard	shift_profit_target	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
114	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
115	cb64e02	discard	shift_profit_target	11.3697	11.370	11.220	56926.43	0.00	100.00	+1.3	40	9999	0,3	aggressive,conservative,moderate	put
116	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
117	df63ff9	discard	shift_profit_target	11.4180	11.418	11.220	56595.35	0.00	100.00	+1.8	35	9999	0,3	aggressive,conservative,moderate	put
118	a975223	discard	swap_tiers	11.3604	11.360	11.220	56812.35	0.00	100.00	+1.3	30	9999	0,3	aggressive,moderate	put
119	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
120	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
121	a975223	discard	swap_tiers	11.3604	11.360	11.220	56812.35	0.00	100.00	+1.3	30	9999	0,3	aggressive,moderate	put
122	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
123	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
124	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
125	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
126	df63ff9	discard	shift_profit_target	11.4180	11.418	11.220	56595.35	0.00	100.00	+1.8	35	9999	0,3	aggressive,conservative,moderate	put
127	c9eaf87	discard	shift_profit_target	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
128	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
129	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
130	df63ff9	discard	shift_profit_target	11.4180	11.418	11.220	56595.35	0.00	100.00	+1.8	35	9999	0,3	aggressive,conservative,moderate	put
131	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
132	222b80c	discard	toggle_dte	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
133	eccef70	discard	swap_tiers	11.2952	11.295	11.220	59141.65	0.00	100.00	+0.7	30	9999	0,3	conservative	put
134	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
135	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
136	df63ff9	discard	shift_profit_target	11.4180	11.418	11.220	56595.35	0.00	100.00	+1.8	35	9999	0,3	aggressive,conservative,moderate	put
137	c9eaf87	discard	shift_profit_target	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
138	df63ff9	discard	shift_profit_target	11.4180	11.418	11.220	56595.35	0.00	100.00	+1.8	35	9999	0,3	aggressive,conservative,moderate	put
139	1cb4fc9	discard	toggle_dte	11.2609	11.261	11.220	59293.61	0.00	100.00	+0.4	30	9999	3	aggressive,conservative,moderate	put
140	c9eaf87	discard	shift_profit_target	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
141	e7f4bac	discard	toggle_dte	11.1556	11.156	11.220	54530.02	0.00	100.00	-0.6	30	9999	0,1,3	aggressive,conservative,moderate	put
142	cb64e02	discard	shift_profit_target	11.3697	11.370	11.220	56926.43	0.00	100.00	+1.3	40	9999	0,3	aggressive,conservative,moderate	put
143	e7f4bac	discard	toggle_dte	11.1556	11.156	11.220	54530.02	0.00	100.00	-0.6	30	9999	0,1,3	aggressive,conservative,moderate	put
144	222b80c	discard	toggle_dte	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
145	cb64e02	discard	shift_profit_target	11.3697	11.370	11.220	56926.43	0.00	100.00	+1.3	40	9999	0,3	aggressive,conservative,moderate	put
146	222b80c	discard	toggle_dte	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
147	eccef70	discard	swap_tiers	11.2952	11.295	11.220	59141.65	0.00	100.00	+0.7	30	9999	0,3	conservative	put
148	1cb4fc9	discard	toggle_dte	11.2609	11.261	11.220	59293.61	0.00	100.00	+0.4	30	9999	3	aggressive,conservative,moderate	put
149	0a63142	discard	toggle_dte	10.9581	10.958	11.220	54652.23	0.00	100.00	-2.3	30	9999	0,2,3	aggressive,conservative,moderate	put
150	cb64e02	discard	shift_profit_target	11.3697	11.370	11.220	56926.43	0.00	100.00	+1.3	40	9999	0,3	aggressive,conservative,moderate	put
