rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
425,30,10,12,6,both,0.015,0.0125,215,88.84,1468594.0,884042.33,1014536.27,-130493.94,0.8714,-1.23
426,10,30,9,6,both,0.025,0.01,397,92.44,1458848.0,851270.0,982623.32,-131353.32,0.8663,-0.68
427,10,20,12,8,both,0.015,0.01,293,85.67,2811459.0,1242393.06,1373900.08,-131507.02,0.9043,-0.91
428,10,20,9,7,both,0.015,0.01,354,89.83,1413784.0,909122.08,1041184.18,-132062.09,0.8732,-0.76
429,20,20,9,8,both,0.015,0.0125,159,91.82,672326.0,505767.62,638859.0,-133091.38,0.7917,-1.7
430,30,30,12,9,both,0.015,0.0125,182,85.16,1901533.0,756074.53,889676.54,-133602.01,0.8498,-1.5
431,30,30,9,7,both,0.02,0.0125,273,94.14,781917.0,516609.0,650562.7,-133953.7,0.7941,-1.01
432,20,30,9,7,both,0.02,0.0125,273,94.14,781873.0,516565.0,650562.7,-133997.7,0.794,-1.01
433,20,30,12,7,both,0.02,0.0125,287,93.03,1760690.0,662031.2,796691.0,-134659.8,0.831,-0.96
434,30,30,12,7,both,0.02,0.0125,287,93.03,1759277.0,660618.2,796691.0,-136072.8,0.8292,-0.97
435,10,20,9,6,both,0.015,0.0125,307,93.49,937787.0,686916.61,823092.8,-136176.18,0.8346,-0.9
436,10,30,10,7,both,0.015,0.0075,475,88.0,3353578.0,1797694.67,1934244.51,-136549.83,0.9294,-0.59
437,10,30,13,9,both,0.015,0.0075,296,83.11,4318357.0,1662867.06,1799462.21,-136595.15,0.9241,-0.94
438,30,10,9,8,both,0.015,0.01,119,89.08,513687.0,391015.12,527890.04,-136874.91,0.7407,-2.33
439,10,30,7,6,both,0.015,0.0125,130,94.62,182473.0,121251.0,258594.11,-137343.11,0.4689,-2.18
440,20,10,11,7,both,0.015,0.0125,201,88.06,1186186.0,826711.94,964486.53,-137774.6,0.8572,-1.38
441,20,20,13,9,both,0.015,0.01,228,82.89,2929145.0,1210754.46,1349597.97,-138843.51,0.8971,-1.23
442,30,30,9,6,both,0.025,0.0125,307,94.79,793209.0,513287.0,653147.73,-139860.73,0.7859,-0.94
443,20,30,9,6,both,0.025,0.0125,307,94.79,793039.0,513117.0,653147.73,-140030.73,0.7856,-0.94
444,30,10,7,6,both,0.015,0.0075,79,92.41,134254.0,110005.29,250665.3,-140660.01,0.4389,-3.6
445,10,30,10,8,both,0.015,0.0125,220,89.55,1127011.0,751146.39,891922.84,-140776.45,0.8422,-1.31
446,30,30,7,6,both,0.025,0.0125,117,94.87,165601.0,108645.0,249737.16,-141092.16,0.435,-2.49
447,20,30,7,6,both,0.025,0.0125,117,94.87,165331.0,108375.0,249737.16,-141362.16,0.434,-2.5
