rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
2632,30,10,13,10,both,0.025,0.0125,26,80.77,443157.0,204384.0,249227.0,-44843.0,0.8201,-3.49
2633,10,30,9,8,both,0.025,0.01,34,88.24,239868.0,151027.0,196159.0,-45132.0,0.7699,-2.72
2634,20,30,9,8,both,0.025,0.01,34,88.24,239868.0,151027.0,196159.0,-45132.0,0.7699,-2.72
2635,30,30,9,8,both,0.025,0.01,34,88.24,239868.0,151027.0,196159.0,-45132.0,0.7699,-2.72
2636,20,10,13,10,both,0.025,0.0125,26,80.77,442862.0,204089.0,249227.0,-45138.0,0.8189,-3.5
2637,30,10,13,10,both,0.02,0.005,41,85.37,535858.0,253840.0,298982.0,-45142.0,0.849,-2.22
2638,10,10,13,10,both,0.02,0.005,41,85.37,535752.0,253734.0,298982.0,-45248.0,0.8487,-2.22
2639,10,30,9,7,both,0.015,0.0075,45,84.44,610176.0,255438.0,300717.8,-45279.8,0.8494,-2.05
2640,20,20,8,7,both,0.025,0.0125,37,89.19,320557.0,152972.0,198415.0,-45443.0,0.771,-2.49
2641,30,20,8,7,both,0.025,0.0125,37,89.19,320557.0,152972.0,198415.0,-45443.0,0.771,-2.49
2642,10,10,12,10,both,0.02,0.0125,25,80.0,423550.0,203820.0,249270.0,-45450.0,0.8177,-3.66
2643,10,20,8,7,both,0.025,0.0125,36,88.89,320482.0,152897.0,198415.0,-45518.0,0.7706,-2.57
2644,30,10,12,11,both,0.015,0.0075,21,80.95,290466.0,153473.0,199007.0,-45534.0,0.7712,-4.37
2645,30,20,10,9,both,0.015,0.0125,35,88.57,298409.0,152159.0,197750.0,-45591.0,0.7695,-2.65
2646,10,10,13,10,both,0.025,0.005,41,85.37,534936.0,252918.0,298982.0,-46064.0,0.8459,-2.26
2647,10,30,10,9,both,0.02,0.0125,29,86.21,296558.0,149621.0,196063.0,-46442.0,0.7631,-3.28
2648,20,30,10,9,both,0.02,0.0125,29,86.21,296558.0,149621.0,196063.0,-46442.0,0.7631,-3.28
2649,30,30,10,9,both,0.02,0.0125,29,86.21,296558.0,149621.0,196063.0,-46442.0,0.7631,-3.28
2650,10,30,10,9,both,0.025,0.0125,29,86.21,296558.0,149621.0,196063.0,-46442.0,0.7631,-3.28
2651,20,30,10,9,both,0.025,0.0125,29,86.21,296558.0,149621.0,196063.0,-46442.0,0.7631,-3.28
2652,30,30,10,9,both,0.025,0.0125,29,86.21,296558.0,149621.0,196063.0,-46442.0,0.7631,-3.28
2653,30,10,12,10,both,0.025,0.0125,26,80.77,422464.0,202734.0,249270.0,-46536.0,0.8133,-3.62
2654,10,10,12,10,both,0.025,0.0125,25,80.0,422294.0,202564.0,249270.0,-46706.0,0.8126,-3.76
2655,10,10,9,8,both,0.025,0.0125,30,86.67,206287.0,151682.0,198395.0,-46713.0,0.7645,-3.14
2656,20,10,9,8,both,0.025,0.0125,30,86.67,206287.0,151682.0,198395.0,-46713.0,0.7645,-3.14
2657,30,10,9,8,both,0.025,0.0125,30,86.67,206287.0,151682.0,198395.0,-46713.0,0.7645,-3.14
2658,20,10,12,10,both,0.025,0.0125,26,80.77,422169.0,202439.0,249270.0,-46831.0,0.8121,-3.63
