rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
2487,20,10,13,7,both,0.025,0.01,14,64.29,348280.0,24532.0,248252.0,-223720.0,0.0988,-32.2
2488,30,10,13,6,both,0.025,0.01,14,64.29,348280.0,24532.0,248252.0,-223720.0,0.0988,-32.2
2489,30,10,13,7,both,0.025,0.01,14,64.29,348280.0,24532.0,248252.0,-223720.0,0.0988,-32.2
2490,10,20,12,6,both,0.015,0.0125,21,76.19,344150.0,24842.0,248692.0,-223850.0,0.0999,-21.51
2491,20,10,13,8,both,0.02,0.01,11,54.55,348039.0,24291.0,248252.0,-223961.0,0.0978,-41.13
2492,30,10,13,8,both,0.02,0.01,11,54.55,348039.0,24291.0,248252.0,-223961.0,0.0978,-41.13
2493,10,10,12,6,both,0.02,0.01,14,64.29,301002.0,24532.0,248530.0,-223998.0,0.0987,-32.23
2494,10,10,12,7,both,0.02,0.01,14,64.29,301002.0,24532.0,248530.0,-223998.0,0.0987,-32.23
2495,10,10,12,7,both,0.025,0.01,14,64.29,301002.0,24532.0,248530.0,-223998.0,0.0987,-32.23
2496,10,10,12,6,both,0.025,0.01,14,64.29,301002.0,24532.0,248530.0,-223998.0,0.0987,-32.23
2497,20,10,12,7,both,0.025,0.01,14,64.29,301002.0,24532.0,248530.0,-223998.0,0.0987,-32.23
2498,20,10,12,6,both,0.025,0.01,14,64.29,301002.0,24532.0,248530.0,-223998.0,0.0987,-32.23
2499,30,10,12,7,both,0.025,0.01,14,64.29,301002.0,24532.0,248530.0,-223998.0,0.0987,-32.23
2500,30,10,12,6,both,0.025,0.01,14,64.29,301002.0,24532.0,248530.0,-223998.0,0.0987,-32.23
2501,20,10,12,8,both,0.02,0.01,11,54.55,300761.0,24291.0,248530.0,-224239.0,0.0977,-41.16
2502,30,10,12,8,both,0.02,0.01,11,54.55,300761.0,24291.0,248530.0,-224239.0,0.0977,-41.16
2503,10,30,11,8,both,0.015,0.0125,10,50.0,252660.0,20156.0,244496.0,-224340.0,0.0824,-46.22
2504,20,30,11,8,both,0.015,0.0125,10,50.0,252660.0,20156.0,244496.0,-224340.0,0.0824,-46.22
2505,30,30,11,8,both,0.015,0.0125,10,50.0,252660.0,20156.0,244496.0,-224340.0,0.0824,-46.22
2506,10,30,11,8,both,0.02,0.0125,10,50.0,252660.0,20156.0,244496.0,-224340.0,0.0824,-46.22
2507,20,30,11,8,both,0.02,0.0125,10,50.0,252660.0,20156.0,244496.0,-224340.0,0.0824,-46.22
2508,30,30,11,8,both,0.02,0.0125,10,50.0,252660.0,20156.0,244496.0,-224340.0,0.0824,-46.22
2509,10,30,11,8,both,0.025,0.0125,10,50.0,252660.0,20156.0,244496.0,-224340.0,0.0824,-46.22
2510,20,30,11,8,both,0.025,0.0125,10,50.0,252660.0,20156.0,244496.0,-224340.0,0.0824,-46.22
2511,30,30,11,8,both,0.025,0.0125,10,50.0,252660.0,20156.0,244496.0,-224340.0,0.0824,-46.22
